"X265.35","X3.3","X0","X3","X0.1","X19.4","X20","X345","X6.67","X.2.4","X45","X1","X285","X0.2","X0.3","X1.1","X195","X1.2","X25","X0.4","X0.5","X2","X10","X0.6","X0.7","X0.8","X0.9","X30"
608.17,7.9,1,5,12,98.6,42,898,3.12,-7.8,5.2,2,92.41,0,0,0,0,2,4.8,0,0,2,1.596,0,0,4,12.804,8
410.48,2.7,0,6,4,61.9,30,731,8.76,-3.4,0.5,1,2.6,2,1.3,1,0.5,0,0,0,0,1,50,0,0,0,0,2.19
388.41,3.3,1,7,7,110,28,704,5.32,-4.8,50,1,70,2,58,1,40,1,10,2,10,2,2,0,0,0,0,36
337.45,-0.6,4,8,7,238,20,469,8.38,-3.1,20,4,66.3,0,0,2,11.7,0,0,0,0,2,0.5,0,0,0,0,47.25
265.35,3.3,0,3,0,19.4,20,345,6.67,-2.4,45,1,168,2,125,1,195,1,25,0,0,1,2.5,2,8.7,0,0,28
297.74,-0.1,3,7,1,135,17,494,7.9,-2.62,50,3,133.6,0,0,0,0,1,8,2,8,1,15,2,4,0,0,10
151.16,0.5,2,2,1,49.3,11,139,9.38,-1.03,325,2,113,0,0,0,0,1,20,3,20,2,2,0,0,0,0,53.33
348.87,2.6,2,3,2,50.2,24,442,9,-2.9,50,1,20,2,55,0,0,1,5,0,0,1,2,2,1.5,0,0,32
265.35,3.3,0,3,0,19.4,20,345,6.67,-2.4,45,1,264,0,0,1,195,1,25,0,0,2,10,0,0,0,0,24
241.29,5.1,2,3,3,49.3,18,292,4.2,-3.78,100,2,81.75,0,0,0,0,2,32.5,0,0,1,32.5,2,3.25,0,0,25
608.17,7.9,1,5,12,98.6,42,898,3.12,-7.8,5.2,2,110.79,0,0,0,0,2,6,0,0,2,2,0,0,4,22.005,5
474.58,1.5,1,7,7,118,33,838,5.99,-3,29.8,1,221.2,0,0,0,0,2,13,0,0,2,3,0,0,0,0,25
410.48,2.7,0,6,4,61.9,30,731,8.76,-3.4,0.5,1,1.45,2,1.45,1,0.5,0,0,0,0,1,50,0,0,0,0,2.41
352.31,3.49,1,2,1,12.5,21,370,9.85,-4.5,15,1,10,2,25,0,0,0,0,0,0,0,0,0,0,0,0,27
388.41,3.3,1,7,7,110,28,704,5.32,-4.8,50,1,70,2,98,0,0,1,10,2,10,2,2,0,0,0,0,90
