"Molecular..Weight","XLogP3","Hydrogen.Bond..Donor.Count","Hydrogen.Bond..Acceptor.Count","Rotatable.Bond..Count","Topological.Polar..Surface.Area","Heavy.Atom.Count","Complexity","logS","Amount.mg.","Type","Amount.mg..1","Type.1","Amount.mg..2","Binder","Amount.mg..3","Disintegrant","Amount.mg..4","Disintegrant.1","Amount.mg..5","Lubricant","Amount.mg..6","Lubricant.1","Amount.mg..7","Solubilzer","Amount.mg..8","Disintegration.time.s."
293.36,2.3,0,2,2,39.8,22,440,-3.1,8,1,22.5,2,15.12,0,0,2,7.5,0,0,1,0.75,0,0,0,0,10
293.36,2.3,0,2,2,39.8,22,440,-3.1,8,1,22.5,2,11.37,0,0,2,11.25,0,0,1,0.75,0,0,0,0,7
312.43,2.8,1,5,1,56.2,22,543,-3.5,11.8,1,41,2,68.45,0,0,1,7,0,0,2,0.875,1,0.875,1,43,21
256.09,1.4,2,5,1,90.7,16,242,-2.7,25,1,45.25,0,0,0,0,2,3.75,0,0,2,1,0,0,0,0,17
312.43,2.8,1,5,1,56.2,22,543,-3.5,11.8,1,41,2,61.45,0,0,1,14,0,0,2,0.875,1,0.875,1,43,27
608.17,7.9,1,5,12,98.6,42,898,-7.8,5.2,2,113.8,0,0,0,0,2,9,0,0,2,2,0,0,4,16,10
299.84,2.4,2,3,4,32.7,20,282,-2.5,50,1,178,0,0,0,0,2,18,0,0,2,2,1,2,0,0,61
474.58,1.5,1,7,7,118,33,838,-3,29.8,1,236.2,0,0,0,0,2,13,0,0,2,3,0,0,0,0,26
410.48,2.7,0,6,4,61.9,30,731,-3.4,0.5,1,1.45,2,1.45,1,0.5,0,0,0,0,1,50,0,0,0,0,3
459.56,4.2,0,6,4,70.6,33,666,-5.3,100,1,88.75,2,37.5,0,0,2,15,0,0,1,2.5,2,1.25,0,0,19
256.09,1.4,2,5,1,90.7,16,242,-2.7,25,1,45.5,0,0,0,0,2,3.75,0,0,2,0.75,0,0,0,0,6
256.09,1.4,2,5,1,90.7,16,242,-2.7,25,1,45.5,0,0,0,0,2,3.75,0,0,2,0.75,0,0,0,0,8
256.09,1.4,2,5,1,90.7,16,242,-2.7,25,1,46.5,0,0,0,0,2,2.5,0,0,2,1,0,0,0,0,8
256.09,1.4,2,5,1,90.7,16,242,-2.7,25,1,44.5,0,0,0,0,2,5,0,0,2,0.5,0,0,0,0,6
256.09,1.4,2,5,1,90.7,16,242,-2.7,25,1,45.25,0,0,0,0,2,3.75,0,0,2,1,0,0,0,0,4
