"Molecular.Weight..g.mol..","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Ratio..g.ml.","Name","Ratio..g.ml..1","Name.1","Ratio..g.ml..2","Name.2","Ratio..g.ml..3","Name.3","Ratio..g.ml..4","X"
513.5,5,2,3,7,43.8,35,623,-5.7,0.91,9,12,1,0.1,7,0.1,0,0,24.5
507.44,-0.3,3,7,5,52,32,592,-5.2,0.03,2,1,1,10,0,0,0,0,50.3
309.43,3.2,0,3,0,48.6,22,476,-4.6,0.31,10,2.84,1,0.95,0,0,1,0.28,42.78
413.49,0.9,4,8,9,148,28,498,-3.4,0.2,6,6,2,1.35,5,1,0,0,40
413.49,0.9,4,8,9,148,28,498,-3.4,0.2,6,9,2,1.35,5,1.5,0,0,32
352.31,3.4,1,2,1,12.5,21,370,-4.5,0.11,1,1.42,4,0.39,0,0,2,0.03,63
203.67,-0.3,4,3,3,52.5,13,130,-0.88,1,1,7.5,2,0.829,0,0,0,0,20.43
287.36,2.2,2,3,5,57.4,21,375,-3.2,0.8,4,6,4,20,0,0,0,0,20
513.5,5,2,3,7,43.8,35,623,-5.7,1.51,3,15,1,3.5,0,0,0,0,10.9
267.36,1.9,2,4,9,50.7,19,215,-2.8,0.7,8,5.6,4,4.2,0,0,3,0.392,38.33
507.44,-0.3,3,7,5,52,32,592,-5.2,0.03,7,2,1,8,0,0,0,0,24
513.5,5,2,3,7,43.8,35,623,-5.7,0.91,9,12,1,0.1,8,2,0,0,30.4
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,0.74,1,0.4,1,0.5,1,0.74,2
413.49,0.9,4,8,9,148,28,498,-3.4,0.2,6,9,2,1.35,5,1,0,0,39
458.93,1.2,1,6,8,97.9,30,660,-5.3,0.124,11,15,2,7.5,0,0,0,0,60.67
