"Molecular.Weight..g.mol..","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Ratio..g.ml.","Name","Ratio..g.ml..1","Name.1","Ratio..g.ml..2","Name.2","Ratio..g.ml..3","Name.3","Ratio..g.ml..4","X"
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,1.04,1,0.28,1,0.5,1,0.44,1
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,1.04,1,0.4,1,0.5,1,0.44,3
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,0.74,1,0.4,1,0.5,1,0.74,5
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,1.34,1,0.4,1,0.5,1,0.15,5
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,1.32,1,0.53,1,0.5,1,0.15,7
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,0.74,1,0.28,1,0.5,1,0.74,5
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,1.03,1,0.53,1,0.5,1,0.44,6
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,1.16,1,0.47,1,0.5,1,0.13,11
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,0.73,1,0.52,1,0.5,1,0.73,3
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,1.1,1,0.3,1,0.5,1,0.47,2
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,1.32,2,0.53,1,0.5,1,0.15,10
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,1.03,2,0.53,1,0.5,1,0.44,6
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,1.04,2,0.28,1,0.5,1,0.45,9
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,0.75,2,0.4,1,0.5,1,0.75,6
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,1.04,2,0.4,1,0.5,1,0.45,8
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,1.33,2,0.28,1,0.5,1,0.15,11
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,0.7,2,0.5,1,0.5,1,0.7,6
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,1.33,2,0.4,1,0.5,1,0.15,9
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,0.8,2,0.3,1,0.5,1,0.8,9
194.19,-0.1,0,3,0,58.4,14,293,-0.97,3.3,2,4.98,3,2.49,2,0.34,0,0,7.89
194.19,-0.1,0,3,0,58.4,14,293,-0.97,1.67,3,12.48,3,2.5,2,0.33,0,0,14.85
194.19,-0.1,0,3,0,58.4,14,293,-0.97,1.66,3,5.41,3,2.48,2,0.33,0,0,6.6
194.19,-0.1,0,3,0,58.4,14,293,-0.97,3.31,3,5.41,3,2.51,2,0.33,0,0,16.42
352.31,3.4,1,2,1,12.5,21,370,-4.5,0.11,1,1.39,4,0.39,0,0,2,0.06,44
352.31,3.4,1,2,1,12.5,21,370,-4.5,0.11,1,1.37,4,0.39,0,0,2,0.08,39
287.36,2.2,2,3,5,57.4,21,375,-3.2,0.8,4,6,4,10,0,0,0,0,36
287.36,2.2,2,3,5,57.4,21,375,-3.2,0.8,4,6,4,10,0,0,0,0,49
287.36,2.2,2,3,5,57.4,21,375,-3.2,0.8,4,6,4,15,0,0,0,0,30
287.36,2.2,2,3,5,57.4,21,375,-3.2,0.8,4,6,4,15,0,0,0,0,28
287.36,2.2,2,3,5,57.4,21,375,-3.2,0.8,4,6,4,15,0,0,0,0,43
287.36,2.2,2,3,5,57.4,21,375,-3.2,0.8,4,6,4,20,0,0,0,0,23
351.4,3,2,7,2,136,23,628,-3.4,0.027,5,0.108,0,0,3,0.135,0,0,53
351.4,3,2,7,2,136,23,628,-3.4,0.027,5,0.108,0,0,3,0.135,0,0,53.7
351.4,3,2,7,2,136,23,628,-3.4,0.027,5,0.108,0,0,4,0.164,0,0,13.7
413.49,0.9,4,8,9,148,28,498,-3.4,0.2,1,2,2,1.35,5,0.5,0,0,60
413.49,0.9,4,8,9,148,28,498,-3.4,0.2,1,2,2,1.35,5,1,0,0,48
413.49,0.9,4,8,9,148,28,498,-3.4,0.2,1,2,2,1.35,5,1.5,0,0,54
413.49,0.9,4,8,9,148,28,498,-3.4,0.2,1,4,2,1.35,5,0.5,0,0,46
413.49,0.9,4,8,9,148,28,498,-3.4,0.2,1,4,2,1.35,5,1,0,0,33
413.49,0.9,4,8,9,148,28,498,-3.4,0.2,1,4,2,1.35,5,1.5,0,0,37
413.49,0.9,4,8,9,148,28,498,-3.4,0.2,1,6,2,1.35,5,0.5,0,0,52
413.49,0.9,4,8,9,148,28,498,-3.4,0.2,1,6,2,1.35,5,1.5,0,0,40
413.49,0.9,4,8,9,148,28,498,-3.4,0.2,6,3,2,1.35,5,0.5,0,0,47
413.49,0.9,4,8,9,148,28,498,-3.4,0.2,6,3,2,1.35,5,1,0,0,44
413.49,0.9,4,8,9,148,28,498,-3.4,0.2,6,6,2,1.35,5,0.5,0,0,46
413.49,0.9,4,8,9,148,28,498,-3.4,0.2,6,6,2,1.35,5,1.5,0,0,35
413.49,0.9,4,8,9,148,28,498,-3.4,0.2,6,9,2,1.35,5,0.5,0,0,46
203.67,-0.3,4,3,3,52.5,13,130,-0.88,2.963,1,5.555,2,0.614,0,0,0,0,5.52
