Ratio%(g/ml),Molecular Weight£¬g/mol£©,XLogP3,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Topological Polar Surface Area(A^2),Heavy Atom Count,Complexity,logS,Name,Ratio%(g/ml),Name,Ratio%(g/ml),Name,Ratio%(g/ml),Disintegration time£¬S£©
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,0.5,2,0.05,0,0,15
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,0.5,3,0.05,0,0,9
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,0.5,1,0.05,0,0,23
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,0.5,2,0.1,0,0,11
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,0.5,3,0.1,0,0,4
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,0.5,1,0.1,0,0,17
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,2,0.1,0,0,21
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,3,0.1,0,0,14
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,1,0.1,0,0,27
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,2,0.2,0,0,18
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,3,0.2,0,0,10
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,1,0.2,0,0,22
