Molecular Weight?g/mol?,Topological Polar Surface Area,Rotatable Bond Count,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Heavy Atom Count,Complexity,Covalently-Bonded Unit Count,Melting Point,y,,
0.386945161,0.437731196,0.409090909,0.5,0.4,0.392405063,0.259243149,0.5,0.458687354,0.820224719,0,0
0.178282742,0.07595561,0,0.071428571,0.04,0.189873418,0.207481514,0,0.40019702,0.951310861,0,0
0.14575755,0.105795314,0.136363636,0,0.08,0.151898734,0.109177903,0.5,0.394040143,0.767790262,0,0
0.125999391,0.09864365,0.136363636,0.071428571,0.08,0.139240506,0.107003045,0,0.394040143,0.767790262,0,0
0.168202324,0.334155364,0.227272727,0.214285714,0.28,0.164556962,0.105263158,0.5,0.692648689,0.228464419,0,0
0.33477686,0.324290999,0.318181818,0.214285714,0.28,0.341772152,0.381470204,0,0.60029553,0.831460674,0,0
0.244827887,0.217755857,0.090909091,0.214285714,0.16,0.253164557,0.284036538,0,0.60029553,0.831460674,0,0
0.289902593,0.090998767,0.227272727,0,0.08,0.303797468,0.304915181,0,0.40019702,0.951310861,0,0
0.275482606,0.09864365,0.227272727,0.071428571,0.08,0.291139241,0.246193997,0,0.389422485,0.790262172,0,0
0.064854438,0.023674476,0.045454545,0,0.04,0.075949367,0.05045672,0,0.166235685,0.812734082,0,0
0.163862755,0.083847102,0,0.142857143,0.04,0.17721519,0.152675076,0,0.389422485,0.790262172,0,0
0.043179965,0.125770654,0.045454545,0.142857143,0.08,0.050632911,0.044367116,0,0.409432336,0.782771536,0,0
0.201647023,0.09864365,0.090909091,0.071428571,0.08,0.215189873,0.193562418,0,0.389422485,0.790262172,0,0
0.083703877,0.16325524,0.136363636,0.285714286,0.12,0.088607595,0.053501522,0,0.574128802,0.322097378,0,0
0.201686571,0.068064118,0.045454545,0,0.04,0.215189873,0.242714224,0,0.295530107,0.940074906,0,0
0.282612154,0.233045623,0.181818182,0.142857143,0.2,0.291139241,0.328403654,0,0.60029553,0.831460674,0,0
