Molecular Weight?g/mol?,Topological Polar Surface Area,Rotatable Bond Count,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Heavy Atom Count,Complexity,Covalently-Bonded Unit Count,Melting Point,,y,
0.157038056,0.139928058,0.054054054,0.111111111,0.153846154,0.153061224,0.085263158,0,0.206527155,0,0.604191617,0
0.194395519,0.095143885,0.027027027,0.055555556,0.115384615,0.193877551,0.152280702,0,0.112273709,0,0.574251497,0
0.202048241,0.156294964,0.081081081,0.111111111,0.153846154,0.193877551,0.15122807,0,0.155040691,0,0.604191617,0
0.159593511,0.104676259,0.054054054,0.111111111,0.076923077,0.173469388,0.122807018,0,0.145449261,0,0.591017964,0
0.189105103,0.140827338,0.108108108,0,0.153846154,0.204081633,0.16,0,0.120694237,0,0.586826347,0
1,1,0.837837838,0.944444444,0.807692308,1,1,0,0.197807673,0,0.395209581,0
0.631184449,0.426258993,0.27027027,0.277777778,0.615384615,0.632653061,0.624561404,0.166666667,0.234346454,0,0.664670659,0
0.372398502,0.410071942,0.216216216,0.555555556,0.461538462,0.357142857,0.100350877,0.333333333,0.112688922,0,0.497005988,0
0.490495847,0.293165468,0.27027027,0,0.538461538,0.479591837,0.158947368,0.333333333,0.141338648,0,0.576646707,0
0.370908597,0.440647482,0.216216216,0.166666667,0.461538462,0.357142857,0.357894737,0,0.102308587,0,0.347305389,0
0.173095274,0.294964029,0.135135135,0.277777778,0.307692308,0.132653061,0.102807018,0.166666667,0.206942368,0,0.185628743,0
0.504027049,0.199640288,0.243243243,0,0.423076923,0.510204082,0.452631579,0,0.08881415,0,0.682634731,0
0.308695224,0.188848921,0.108108108,0.222222222,0.384615385,0.295918367,0.190877193,0.5,0.239329015,0,0.502994012,0
0.383168175,0.260791367,0.351351351,0.222222222,0.346153846,0.397959184,0.242105263,0.166666667,0.093173891,0,0.868263473,0
0.359095632,0.08381295,0.432432432,0,0.192307692,0.357142857,0.233333333,0,0.138432154,0,0.700598802,0
0.043136137,0.155035971,0,0.111111111,0.076923077,0.040816327,0.010877193,0.166666667,0.12282013,0,0.316766467,0
0.299065058,0.228417266,0.297297297,0.166666667,0.269230769,0.295918367,0.232280702,0.166666667,0.155538947,0,0.478443114,0
0.323752232,0.327338129,0.054054054,0.388888889,0.346153846,0.316326531,0.340701754,0.166666667,0.155871118,0,0.365269461,0
0.26326643,0.036330935,0.135135135,0.055555556,0.038461538,0.275510204,0.237894737,0,0.109367215,0,0.880239521,0
0.489599751,0.361510791,0.324324324,0.333333333,0.423076923,0.489795918,0.361403509,0.166666667,0.15192659,0,0.616766467,0
0.200564081,0.28057554,0.108108108,0.333333333,0.307692308,0.183673469,0.090526316,0.166666667,0.095665172,0,0.502994012,0
0.337879396,0.190647482,0.162162162,0.055555556,0.346153846,0.326530612,0.345263158,0,0.238913802,0,0.646706587,0
0.206567498,0.223021583,0.027027027,0.055555556,0.269230769,0.163265306,0.18877193,0.166666667,0.297251287,0,0.428742515,0
0.461657046,0.171942446,0.135135135,0.111111111,0.192307692,0.224489796,0.143157895,0.166666667,0.209018435,0,0.616766467,0
0.539196687,0.365107914,0.189189189,0.333333333,0.538461538,0.540816327,0.50877193,0,0.194485966,0,0.518562874,0
0.110772043,0.067086331,0.243243243,0.055555556,0.076923077,0.112244898,0.049473684,0,0.026407573,0,0.432934132,0
0.346324101,0.309352518,0.162162162,0.055555556,0.423076923,0.346938776,0.289122807,0.333333333,0.212755356,0,0.558083832,0
