Molecular Weight?g/mol?,Topological Polar Surface Area,Rotatable Bond Count,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Heavy Atom Count,Complexity,Covalently-Bonded Unit Count,Melting Point,y,,
0.240624941,0.152897657,0.181818182,0.071428571,0.12,0.240506329,0.20661157,0,0.387883266,0.820224719,0,0
0.246988683,0.21972873,0.363636364,0.357142857,0.12,0.240506329,0.153979991,0.5,0.501785494,0.692883895,0,0
0.214219008,0.21972873,0.363636364,0.285714286,0.12,0.227848101,0.153979991,0,0.501785494,0.692883895,0,0
0.239470839,0.09864365,0.227272727,0.071428571,0.08,0.253164557,0.211831231,0,0.389422485,0.790262172,0,0
0.145782718,0.127496917,0.090909091,0.142857143,0.04,0.164556962,0.138755981,0,0.415435291,0.865168539,0,0
0.900766975,1,0.681818182,1,1,0.873417722,0.673771205,0.5,0.51102081,0.543071161,0,0
1,0.672009864,0.681818182,0.357142857,0.44,1,1,0,0.383265608,0.310861423,0,0
0.608396184,0.551171393,0.590909091,0.428571429,0.36,0.607594937,0.5215311,0.5,1,0.232209738,0,0
0.772208605,0.299630086,0.545454545,0.285714286,0.36,0.82278481,0.36015659,1,0.460226573,0.760299625,0,0
0.412174521,0.546239211,0.363636364,0.714285714,0.44,0.392405063,0.11091779,1,0.293990888,0.187265918,0,0
0.20458531,0.289765721,0.045454545,0.071428571,0.24,0.151898734,0.220530666,0.5,0.97817387,0.059925094,0,0
0.83442227,0.56350185,1,0.428571429,0.56,0.82278481,0.582427142,0.5,0.51102081,0.543071161,0,0
0.437256472,0.701602959,0.363636364,0.214285714,0.48,0.392405063,0.473684211,0.5,0.40019702,0,0,0
0.578718497,0.462392109,0.318181818,0.357142857,0.52,0.569620253,0.499782514,0,0.51102081,0.543071161,0,0
0.383197924,0.34648582,0.136363636,0.142857143,0.32,0.35443038,0.404958678,1,0.537187538,0.797752809,0,0
0.505813206,0.418002466,0.954545455,0.428571429,0.44,0.506329114,0.120487168,1,0.292451669,0.857677903,0,0
0.360420582,0.141800247,0.590909091,0.071428571,0.2,0.35443038,0.250108743,0.5,0,0.861423221,0,0
0.234397822,0.260172626,0.409090909,0.214285714,0.24,0.202531646,0.137451066,0.5,0.136990518,0.213483146,0,0
0,0.196547472,0,0.142857143,0.04,0,0,0.5,0.331547839,0.576779026,0,0
0.277120281,0.344019729,0.272727273,0.214285714,0.32,0.278481013,0.336233145,0,0.60029553,0.205992509,0,0
