Molecular Weight?g/mol?,Topological Polar Surface Area,Rotatable Bond Count,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Heavy Atom Count,Complexity,Covalently-Bonded Unit Count,Melting Point,,y,
0.185555899,0.067086331,0,0.055555556,0.076923077,0.193877551,0.178245614,0,0.141338648,0,0.641916168,0
0.226741159,0.038309353,0.162162162,0.111111111,0.192307692,0.214285714,0.108070175,0.166666667,0.162514532,0,0.685628743,0
0.202791398,0.101079137,0.027027027,0.055555556,0.192307692,0.204081633,0.190526316,0,0.174555722,0,0.562874251,0
0.344680539,0.176618705,0.189189189,0.166666667,0.230769231,0.336734694,0.229824561,0.166666667,0.13303438,0,0.754491018,0
0.258062177,0.13471223,0.027027027,0.055555556,0.153846154,0.275510204,0.246315789,0,0.26299618,0,0.54491018,0
0.290440128,0.167446043,0.054054054,0.111111111,0.269230769,0.295918367,0.324561404,0,0.236837735,0,0.51257485,0
0.32885668,0.242805755,0.189189189,0.166666667,0.346153846,0.316326531,0.225263158,0,0.247633284,0,0.550898204,0
0.033064385,0.135611511,0,0.166666667,0.076923077,0.030612245,0.015052632,0,0.16583624,0,0.335329341,0
0.139447852,0.141906475,0.054054054,0.111111111,0.153846154,0.142857143,0.136140351,0,0.145075569,0,0.4,0
0.205145088,0.157014388,0.027027027,0.055555556,0.153846154,0.204081633,0.172280702,0,0.128051819,0,0.58742515,0
0.153801912,0.258992806,0.081081081,0.222222222,0.269230769,0.153061224,0.106666667,0,0.157947185,0,0.332335329,0
0.236480466,0.217625899,0.189189189,0.166666667,0.269230769,0.234693878,0.204210526,0,0.108536788,0,0.467065868,0
0.159573406,0.088848921,0.081081081,0,0.115384615,0.163265306,0.098947368,0.166666667,0.139677794,0,0.633532934,0
0.143789756,0.083633094,0.081081081,0.055555556,0.115384615,0.153061224,0.097192982,0,0.139677794,0,0.633532934,0
0.177503237,0.255395683,0.135135135,0.166666667,0.307692308,0.173469388,0.095789474,0.166666667,0.220229198,0,0.343712575,0
0.245957692,0.104676259,0.054054054,0.111111111,0.076923077,0.255102041,0.237894737,0,0.222720478,0,0.624550898,0
0.259544183,0.15647482,0.162162162,0.111111111,0.192307692,0.275510204,0.144561404,0.166666667,0.161268892,0,0.526946108,0
0.279001972,0.130935252,0.189189189,0.055555556,0.192307692,0.285714286,0.247719298,0,0.125975752,0,0.723353293,0
0.26893022,0.130935252,0.189189189,0.055555556,0.192307692,0.275510204,0.233684211,0,0.157531971,0,0.698203593,0
0.13367205,0.171223022,0.081081081,0.111111111,0.153846154,0.132653061,0.079649123,0.166666667,0.178292642,0,0.311377246,0
0.237580482,0.271582734,0.081081081,0.166666667,0.269230769,0.183673469,0.187368421,0.166666667,0.24846371,0,0.383233533,0
0.303389729,0.136690647,0.351351351,0.111111111,0.269230769,0.306122449,0.215438596,0,0.085284836,0,0.685628743,0
0.270319601,0.136151079,0.27027027,0.166666667,0.192307692,0.285714286,0.178245614,0,0.107706361,0,0.694011976,0
0.19190325,0.267985612,0.081081081,0.222222222,0.346153846,0.193877551,0.132280702,0,0.189503405,0,0.383233533,0
0.191593063,0.058093525,0.189189189,0.111111111,0.076923077,0.183673469,0.100701754,0.166666667,0.217322704,0,0.604790419,0
