Molecular Weight?g/mol?,Topological Polar Surface Area,Rotatable Bond Count,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Heavy Atom Count,Complexity,Covalently-Bonded Unit Count,Melting Point,,y,
0.202778474,0.09028777,0.054054054,0.055555556,0.115384615,0.214285714,0.155087719,0,0.194485966,0,0.598802395,0
0.182632097,0.096043165,0.162162162,0.055555556,0.115384615,0.193877551,0.10877193,0,0.092758678,0,0.520958084,0
0.254358598,0.11618705,0.162162162,0.055555556,0.192307692,0.234693878,0.215438596,0,0.13303438,0,0.674251497,0
0.215934148,0.235611511,0.135135135,0.166666667,0.269230769,0.193877551,0.16877193,0,0.183690417,0,0.564670659,0
0.249480329,0.199640288,0.108108108,0.166666667,0.230769231,0.244897959,0.16,0.166666667,0.157531971,0,0.640718563,0
1,1,0.837837838,0.944444444,0.807692308,1,1,0,0.197807673,0,0.395209581,0
0.715063542,0.692446043,0.108108108,0.888888889,0.769230769,0.693877551,0.336140351,0.833333333,0.179538283,0,0.441916168,0
0.808035717,0.411870504,0.594594595,0.333333333,0.461538462,0.826530612,0.286666667,0.333333333,0.145449261,0,0.784431138,0
0.641976381,0.575539568,0.081081081,0.666666667,0.692307692,0.642857143,0.585964912,0,0.153795051,0,0.491017964,0
0.396932018,0.185251799,1,0.055555556,0.384615385,0.387755102,0.15122807,0,0.041272214,0,0.679041916,0
0.587698633,0.300359712,0.27027027,0.222222222,0.692307692,0.520408163,0.158947368,1,0.141338648,0,0.479041916,0
0.194035788,0.056654676,0.054054054,0.055555556,0.076923077,0.163265306,0.091578947,0.166666667,1,0,0.616766467,0
0.539773262,0.895683453,0.27027027,0.944444444,0.961538462,0.489795918,0.315789474,0.333333333,0.18161435,0,0,0
0.450049436,0.48381295,0.621621622,0.388888889,0.461538462,0.428571429,0.291929825,0.166666667,0.128882245,0,0.311377246,0
0.623071472,0.818345324,0.621621622,1,0.615384615,0.591836735,0.287368421,0.333333333,0.227703039,0,0.447904192,0
0.55759826,0.492805755,0.027027027,0.388888889,0.615384615,0.418367347,0.368421053,0.5,0.236837735,0,0.311976048,0
0.56150504,0.309352518,0.297297297,0.055555556,0.5,0.571428571,0.505263158,0,0.163760173,0,0.622754491,0
0.295012519,0.016546763,0.621621622,0,0.038461538,0.285714286,0.121052632,0,0.069506726,0,0.982035928,0
0.715844036,0.553956835,0.540540541,0.722222222,0.730769231,0.704081633,0.195438596,0.666666667,0.107706361,0,0.694011976,0
0.273061024,0.303956835,0.189189189,0.111111111,0.461538462,0.234693878,0.102807018,0.833333333,0.209433649,0,0.28742515,0
0.116279304,0.185251799,0,0,0.192307692,0.081632653,0.036140351,0.5,0.085749875,0,0.317365269,0
0.762706729,0.741007194,0.405405405,0.777777778,1,0.744897959,0.554385965,0.166666667,0.171234014,0,0.626347305,0
0.559432099,0.375899281,0.243243243,0.5,0.384615385,0.316326531,0.184210526,0.166666667,0.220229198,0,0.640718563,0
0.490495847,0.293165468,0.27027027,0,0.538461538,0.479591837,0.158947368,0.333333333,0.141338648,0,0.479041916,0
0.321386336,0.35971223,0.189189189,0.444444444,0.461538462,0.316326531,0.223157895,0,0.099817306,0,0.25748503,0
0.382761773,0.257194245,0.108108108,0.277777778,0.423076923,0.346938776,0.233333333,0.666666667,0.26175054,0,0.670658683,0
0.129715726,0.230215827,0.135135135,0.277777778,0.153846154,0.112244898,0.061754386,0.166666667,0.215246637,0,0.191616766,0
0.407898431,0.260791367,0.378378378,0.222222222,0.346153846,0.408163265,0.248421053,0.166666667,0.109990035,0,0.874251497,0
0.542124079,0.327338129,0.189189189,0.388888889,0.615384615,0.530612245,0.403508772,0.333333333,0.107291148,0,0.683832335,0
0.324461642,0.013489209,0.135135135,0.166666667,0.115384615,0.295918367,0.157192982,0.5,0.195731606,0,0.790419162,0
0.45646859,0.415467626,0.081081081,0.388888889,0.538461538,0.459183673,0.428070175,0,0.253446271,0,0.508982036,0
0.846841439,0.417266187,0.594594595,0.5,0.576923077,0.857142857,0.286666667,0.833333333,0.145449261,0,0.784431138,0
0.344988573,0.384892086,0.324324324,0.111111111,0.461538462,0.336734694,0.339649123,0,0.196562033,0,0.433532934,0
0.660008889,0.230215827,0.324324324,0.222222222,0.384615385,0.704081633,0.301403509,0.333333333,0.157531971,0,0.730538922,0
0.480968359,0.241007194,0.621621622,0.222222222,0.307692308,0.43877551,0.284210526,0.166666667,0.130543099,0,0.57245509,0
0.352233456,0.347122302,0.054054054,0.111111111,0.346153846,0.326530612,0.339298246,0.333333333,0.179538283,0,0.441916168,0
0.529148629,0.413669065,0.351351351,0.333333333,0.384615385,0.530612245,0.431578947,0.166666667,0.303139013,0,0.670658683,0
0.305401639,0.388489209,0.162162162,0.444444444,0.461538462,0.275510204,0.109473684,0.333333333,0.033383159,0,0.568862275,0
0.434774867,0.467625899,0.513513514,0.166666667,0.692307692,0.418367347,0.286666667,0.166666667,0.243481149,0,0.517964072,0
0.641224608,0.456834532,0.27027027,0.277777778,0.615384615,0.642857143,0.642105263,0.166666667,0.195316393,0,0.611976048,0
0.403366968,0.110251799,0.432432432,0,0.346153846,0.397959184,0.268421053,0,0.199468527,0,0.704191617,0
0.047047943,0.136510791,0,0.222222222,0.038461538,0.030612245,0.00922807,0.166666667,0.05414383,0,0.407185629,0
0.513234298,0.571942446,0.216216216,0.5,0.576923077,0.5,0.220701754,0.333333333,0.176216575,0,0.419161677,0
0.709707785,0.422661871,0.594594595,0.333333333,0.576923077,0.704081633,0.480701754,0.166666667,0.171234014,0,0.626347305,0
0.467989319,0.076798561,0.297297297,0.055555556,0.153846154,0.306122449,0.191929825,0.166666667,0.142169075,0,0.896407186,0
0.329968184,0.137589928,0,0.166666667,0.269230769,0.275510204,0.075438596,0.666666667,0.18036871,0,0.520958084,0
0.458640619,0.339928058,0,0.333333333,0.461538462,0.459183673,0.202105263,0.333333333,0.224381332,0,0.496407186,0
