"Molecular.Weight_g.mol_","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","LogS","Ratio.","Name","Ratio..1","Name.1","Ratio..2","Name.2","Ratio..3","Name.3","Ratio..4","Ratio..5","Ratio..6","Ratio..7","Ratio..8"
445.538,1.9,3,6,7,139,31,697,-4.4,6.57,6,59.11,0,0,1,32.84,0,0,6.04,11.7,17.3,24
236.274,2.5,1,1,0,46.3,18,326,-3.2,30,6,35,0,0,1,15,2,19,1.22,3.33,9.89,10.7
390.864,3.4,2,6,7,90.7,27,368,-3.7,5,5,95,0,0,0,0,0,0,39.3,56.3,69.8,79.4
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,6,40,0,0,1,37,0,0,26,38.6,48.8,57.1
445.538,1.9,3,6,7,139,31,697,-4.4,6.57,5,29.56,3,29.56,1,32.84,0,0,7.12,14.2,23.3,33.2
295.807,3,3,3,6,41.5,20,257,-3.5,33.3,4,66.7,0,0,0,0,0,0,30.5,51.6,63.9,73.3
206.285,3.5,1,2,4,37.3,15,203,-3.99,20,4,8,8,8,2,64,0,0,22.4,34.8,45.2,52.6
295.807,3,3,3,6,41.5,20,257,-3.5,46.03,4,39.92,10,13.3,0,0,0,0,35.1,52.8,66.7,77.3
491.069,3.8,1,6,13,64,34,606,-5.1,33.3,5,33.3,0,0,1,33.3,0,0,8.53,13.1,16.9,23.4
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,5,40,0,0,1,37,0,0,27.9,42.5,54.2,63.6
352.316,3.4,1,2,1,12.5,21,370,-4.5,20,3,40,0,0,1,19.5,2,19.5,36.4,58,76.3,88.6
194.194,-0.1,0,3,0,58.4,14,293,-0.97,10,4,15,0,0,1,49.7,2,24.8,81.9,98.1,100,100
295.807,3,3,3,6,41.5,20,257,-3.5,10,5,90,0,0,0,0,0,0,42.6,61.3,77.1,84.2
358.434,1.5,2,5,2,91.7,26,764,-3.5,10,6,90,0,0,0,0,0,0,3.86,7.73,11.8,15
491.069,3.8,1,6,13,64,34,606,-5.1,30,6,40,0,0,1,19,2,10,10.7,13.5,16.2,22.5
