"X265.35","X3.3","X0","X3","X0.1","X19.4","X20","X345","X6.67","X.2.4","X45","X1","X285","X0.2","X0.3","X1.1","X195","X1.2","X25","X0.4","X0.5","X2","X10","X0.6","X0.7","X0.8","X0.9","X30"
293.36,2.3,0,2,2,39.8,22,440,7.34,-3.1,8,1,22.5,2,15.12,0,0,2,7.5,0,0,1,0.75,0,0,0,0,16.33
293.36,2.3,0,2,2,39.8,22,440,7.34,-3.1,8,1,22.5,2,17,0,0,2,5.63,0,0,1,0.75,0,0,0,0,13.67
256.09,1.4,2,5,1,90.7,16,242,5.7,-2.7,25,1,47.05,0,0,0,0,2,2.5,0,0,2,0.75,0,0,0,0,17.21
256.09,1.4,2,5,1,90.7,16,242,5.7,-2.7,25,1,45.5,0,0,0,0,2,3.75,0,0,2,0.75,0,0,0,0,8.1
312.43,2.8,1,5,1,56.2,22,543,4.01,-3.5,11.8,1,41,2,59.7,0,0,1,15.75,0,0,2,0.875,1,0.875,1,43,25
608.17,7.9,1,5,12,98.6,42,898,3.12,-7.8,5.2,2,116.8,0,0,0,0,2,6,0,0,2,2,0,0,4,16,15
474.58,1.5,1,7,7,118,33,838,5.99,-3,29.8,1,236.2,0,0,0,0,2,13,0,0,2,3,0,0,0,0,26
299.84,2.4,2,3,4,32.7,20,282,9.41,-2.5,50,1,178,0,0,0,0,2,18,0,0,2,2,1,2,0,0,61
416.13,5.3,0,2,6,27,25,417,6.77,-5.7,56.5,1,58,2,58,3,4.7,1,4.8,0,0,3,18,0,0,0,0,40
410.48,2.7,0,6,4,61.9,30,731,8.76,-3.4,0.5,1,1.45,2,1.45,1,0.5,0,0,0,0,1,50,0,0,0,0,2.61
256.09,1.4,2,5,1,90.7,16,242,5.7,-2.7,25,1,45.5,0,0,0,0,2,3.75,0,0,2,0.75,0,0,0,0,6.12
256.09,1.4,2,5,1,90.7,16,242,5.7,-2.7,25,1,44,0,0,0,0,2,5,0,0,2,1,0,0,0,0,6.15
256.09,1.4,2,5,1,90.7,16,242,5.7,-2.7,25,1,46.5,0,0,0,0,2,2.5,0,0,2,1,0,0,0,0,7.5
256.09,1.4,2,5,1,90.7,16,242,5.7,-2.7,25,1,45.25,0,0,0,0,2,3.75,0,0,2,1,0,0,0,0,4.04
256.09,1.4,2,5,1,90.7,16,242,5.7,-2.7,25,1,45.75,0,0,0,0,2,3.75,0,0,2,0.5,0,0,0,0,10.5
256.09,1.4,2,5,1,90.7,16,242,5.7,-2.7,25,1,44.5,0,0,0,0,2,5,0,0,2,0.5,0,0,0,0,5.85
256.09,1.4,2,5,1,90.7,16,242,5.7,-2.7,25,1,45.5,0,0,0,0,2,3.75,0,0,2,0.75,0,0,0,0,8.1
256.09,1.4,2,5,1,90.7,16,242,5.7,-2.7,25,1,56.5,0,0,0,0,2,2.5,0,0,2,1,0,0,0,0,8
256.09,1.4,2,5,1,90.7,16,242,5.7,-2.7,25,1,44.25,0,0,0,0,2,5,0,0,2,0.75,0,0,0,0,3.72
256.09,1.4,2,5,1,90.7,16,242,5.7,-2.7,25,1,44.25,0,0,0,0,2,5,0,0,2,0.75,0,0,0,0,12.33
