"Molecular.Weight..g.mol..","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Ratio..g.ml.","Name","Ratio..g.ml..1","Name.1","Ratio..g.ml..2","Name.2","Ratio..g.ml..3","Name.3","Ratio..g.ml..4","y"
1,1,0.5,0.166666666666667,0.777777777777778,0.2309963099631,1,0.930188679245283,0,0.268961315869631,0.615384615384615,0.68376264949402,0.25,0.005,0.875,0.05,0,0,0.245
0.981021577777082,0,0.75,0.833333333333333,0.555555555555556,0.291512915129151,0.863636363636364,0.871698113207547,0.103734439834025,0.000913798355162961,0.0769230769230769,0.0512879484820607,0.25,0.5,0,0,0,0,0.503
0.360903197519652,0.660377358490566,0,0.166666666666667,0,0.266420664206642,0.409090909090909,0.652830188679245,0.228215767634855,0.0862016448370393,0.692307692307692,0.157083716651334,0.25,0.0475,0,0,0.333333333333333,0.35,0.4278
0.686793398265009,0.226415094339623,1,1,1,1,0.681818181818182,0.694339622641509,0.477178423236515,0.0526957051477307,0.384615384615385,0.338776448942042,0.5,0.0675,0.625,0.5,0,0,0.4
0.686793398265009,0.226415094339623,1,1,1,1,0.681818181818182,0.694339622641509,0.477178423236515,0.0526957051477307,0.384615384615385,0.511269549218031,0.5,0.0675,0.625,0.75,0,0,0.32
0.495192759387429,0.69811320754717,0.25,0,0.111111111111111,0,0.363636363636364,0.452830188679245,0.24896265560166,0.0252817544928419,0,0.0754369825206992,1,0.0195,0,0,0.666666666666667,0.0375,0.63
0.0296890169427828,0,1,0.166666666666667,0.333333333333333,0.29520295202952,0,0,1,0.29637526652452,0,0.425022999080037,0.5,0.04145,0,0,0,0,0.2043
0.291785412295262,0.471698113207547,0.5,0.166666666666667,0.555555555555556,0.331365313653137,0.363636363636364,0.462264150943396,0.518672199170124,0.235455376180323,0.230769230769231,0.338776448942042,1,1,0,0,0,0,0.2
1,1,0.5,0.166666666666667,0.777777777777778,0.2309963099631,1,0.930188679245283,0,0.451720986902224,0.153846153846154,0.856255749770009,0.25,0.175,0,0,0,0,0.109
0.229150355453948,0.415094339622641,0.5,0.333333333333333,1,0.281918819188192,0.272727272727273,0.160377358490566,0.601659751037344,0.204995431008224,0.538461538461538,0.315777368905244,1,0.21,0,0,1,0.49,0.3833
0.981021577777082,0,0.75,0.833333333333333,0.555555555555556,0.291512915129151,0.863636363636364,0.871698113207547,0.103734439834025,0.000913798355162961,0.461538461538462,0.108785648574057,0.25,0.4,0,0,0,0,0.24
1,1,0.5,0.166666666666667,0.777777777777778,0.2309963099631,1,0.930188679245283,0,0.268961315869631,0.615384615384615,0.68376264949402,0.25,0.005,1,1,0,0,0.304
0.713100122138361,0.584905660377358,0.5,0.666666666666667,0.777777777777778,0.474538745387454,0.727272727272727,0.737735849056604,0.622406639004149,0.022235759975632,0,0.0363385464581417,0.25,0.02,0.125,0.25,0.333333333333333,0.925,0.02
0.686793398265009,0.226415094339623,1,1,1,1,0.681818181818182,0.694339622641509,0.477178423236515,0.0526957051477307,0.384615384615385,0.511269549218031,0.5,0.0675,0.625,0.5,0,0,0.39
0.829100247408475,0.283018867924528,0.25,0.666666666666667,0.888888888888889,0.630258302583026,0.772727272727273,1,0.08298755186722,0.0295461468169357,0.769230769230769,0.856255749770009,0.5,0.375,0,0,0,0,0.6067
