"Molecular.Weight..g.mol..","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Ratio..g.ml.","Name","Ratio..g.ml..1","Name.1","Ratio..g.ml..2","Name.2","Ratio..g.ml..3","Name.3","Ratio..g.ml..4","Disintegration.time.s."
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.89,2,0.28,1,0.5,1,0.1,11
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,0.5,2,0.05,0,0,0,0,15
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.7,2,0.28,1,0.5,1,0.3,9
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,0.5,1,0.1,0,0,0,0,17
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,0.5,2,0.1,0,0,0,0,11
351.4,3,2,7,2,136,23,628,-3.4,2.5,5,10,0,0,4,15.2,0,0,14
295.4,0.9,2,4,6,73.6,20,405,-3.4,16.67,6,6,2,1.35,2,0.5,0,0,46
271.4,3.4,0,2,1,12.5,20,370,-4.5,0.11,3,1.43,3,0.4,0,0,2,0.05,59
477.05,5,1,3,7,43.8,34,623,-5.7,0.91,8,14,1,0.3,0,0,0,0,23.7
287.36,2.2,2,3,5,57.4,21,375,-3.2,0.8,4,6,3,22.8,0,0,0,0,26
194.19,-0.1,0,3,0,58.4,14,293,-0.97,2.93,2,11.03,1,0.88,0,0,0,0,10.48
309.43,3.2,0,3,0,48.6,22,476,-4.6,0.47,11,1.5,1,0.5,0,0,1,0.3,53.87
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,12,1,3,0.1,0,0,0,0,44
351.4,3,2,7,2,136,23,628,-3.4,2.5,5,10,0,0,3,12.5,0,0,53.7
309.43,3.2,0,3,0,48.6,22,476,-4.6,0.47,11,1.5,1,0.5,0,0,0,0,49.6
