"Molecular.Weight..g.mol..","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Ratio..g.ml.","Name","Ratio..g.ml..1","Name.1","Ratio..g.ml..2","Name.2","Ratio..g.ml..3","Name.3","Ratio..g.ml..4","Disintegration.time.s."
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.69,1,0.28,1,0.5,1,0.3,1
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.5,1,0.4,1,0.5,1,0.5,2
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.69,1,0.4,1,0.5,1,0.3,3
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.5,1,0.4,1,0.5,1,0.5,5
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.9,1,0.4,1,0.5,1,0.1,5
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.88,1,0.53,1,0.5,1,0.1,7
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.5,1,0.28,1,0.5,1,0.5,5
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.68,1,0.53,1,0.5,1,0.29,6
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.89,1,0.28,1,0.5,1,0.1,11
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.9,1,0.4,1,0.5,1,0.1,6
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.49,1,0.53,1,0.5,1,0.49,3
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.76,1,0.3,1,0.5,1,0.33,2
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.89,2,0.53,1,0.5,1,0.1,10
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.69,2,0.53,1,0.5,1,0.3,6
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.5,2,0.4,1,0.5,1,0.5,6
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.7,2,0.4,1,0.5,1,0.3,8
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.49,2,0.53,1,0.5,1,0.49,5
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.45,2,0.5,1,0.5,1,0.45,6
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.89,2,0.4,1,0.5,1,0.1,9
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.88,2,0.28,1,0.5,1,0.1,10
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.55,2,0.3,1,0.5,1,0.55,9
194.19,-0.1,0,3,0,58.4,14,293,-0.97,1.47,2,11.02,1,0.87,0,0,0,0,14.85
194.19,-0.1,0,3,0,58.4,14,293,-0.97,1.47,4,4.78,1,0.89,0,0,0,0,6.6
194.19,-0.1,0,3,0,58.4,14,293,-0.97,2.92,4,4.78,1,0.88,0,0,0,0,16.42
271.4,3.4,0,2,1,12.5,20,370,-4.5,0.11,3,1.45,3,0.4,0,0,2,0.03,63
271.4,3.4,0,2,1,12.5,20,370,-4.5,0.11,3,1.4,3,0.4,0,0,2,0.08,39
287.36,2.2,2,3,5,57.4,21,375,-3.2,0.8,4,6,3,11.4,0,0,0,0,36
287.36,2.2,2,3,5,57.4,21,375,-3.2,0.8,4,6,3,11.4,0,0,0,0,32
287.36,2.2,2,3,5,57.4,21,375,-3.2,0.8,4,6,3,11.4,0,0,0,0,49
287.36,2.2,2,3,5,57.4,21,375,-3.2,0.8,4,6,3,17.1,0,0,0,0,28
287.36,2.2,2,3,5,57.4,21,375,-3.2,0.8,4,6,3,17.1,0,0,0,0,43
287.36,2.2,2,3,5,57.4,21,375,-3.2,0.8,4,6,3,22.8,0,0,0,0,20
287.36,2.2,2,3,5,57.4,21,375,-3.2,0.8,4,6,3,22.8,0,0,0,0,23
351.4,3,2,7,2,136,23,628,-3.4,2.5,5,10,0,0,4,15.2,0,0,13.7
295.4,0.9,2,4,6,73.6,20,405,-3.4,16.67,3,2,2,1.35,2,0.5,0,0,60
295.4,0.9,2,4,6,73.6,20,405,-3.4,16.67,3,2,2,1.35,2,1,0,0,48
