"Molecular.Weight..g.mol..","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","LogS","Ratio.","Name","Ratio..1","Name.1","Ratio..2","Name.2","Ratio..3","Name.3","Ratio..4","Ratio..5","Ratio..6","Ratio..7","Ratio..8"
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,3,40,0,0,1,37,0,0,34.9,53.4,70.3,83.9
180.167,0,1,3,0,69.3,13,267,-0.9,50,6,8,0,0,1,40,0,0,32.5,47.5,58.9,69.9
180.167,0,1,3,0,69.3,13,267,-0.9,30,4,20,0,0,1,49.25,0,0,31.3,51.4,66.8,82.3
390.864,3.4,2,6,7,90.7,27,368,-3.7,30,4,20,0,0,1,49.25,0,0,37.5,59.7,76.1,87.2
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,5,10,0,0,1,67,0,0,33.1,50.1,68.2,86.8
194.194,-0.1,0,3,0,58.4,14,293,-0.97,10,4,7.5,0,0,1,54.7,2,27.3,95.7,99.3,100,100
822.953,4,6,15,5,217,59,1750,-4.3,70.92,3,28.37,0,0,0,0,0,0,18.4,36.1,58.1,72.9
236.274,2.5,1,1,0,46.3,18,326,-3.2,30,6,35,0,0,1,15,2,19,1.22,3.33,9.89,10.7
206.285,3.5,1,2,4,37.3,15,203,-3.99,20,4,24,9,24,2,32,0,0,25.2,37.7,48.6,57.3
137.142,-0.7,2,3,1,68,10,120,0.01,61.73,4,37.04,0,0,0,0,0,0,45,68,80,83.7
194.194,-0.1,0,3,0,58.4,14,293,-0.97,10,4,12.5,0,0,1,51.3,2,25.7,88.1,99,100,100
491.069,3.8,1,6,13,64,34,606,-5.1,30,3,35,0,0,1,19,2,15,12.3,35.7,57.8,72.4
390.864,3.4,2,6,7,90.7,27,368,-3.7,20,5,80,0,0,0,0,0,0,21.6,34.8,45.3,53.4
822.953,4,6,15,5,217,59,1750,-4.3,90.09,3,9.01,0,0,0,0,0,0,47.1,76.6,85.5,89.6
236.274,2.5,1,1,0,46.3,18,326,-3.2,30,6,10,0,0,1,40,2,19,22.6,37.1,56.6,58.7
236.274,2.5,1,1,0,46.3,18,326,-3.2,30,6,20,0,0,1,30,2,19,3,15.3,24.6,25.8
236.274,2.5,1,1,0,46.3,18,326,-3.2,30,6,40,0,0,1,10,2,19,1.22,3.78,9.9,10.7
194.194,-0.1,0,3,0,58.4,14,293,-0.97,10,4,10,0,0,1,53,2,26.5,100,100,100,100
194.194,-0.1,0,3,0,58.4,14,293,-0.97,10,4,15,0,0,1,49.7,2,24.8,81.9,98.1,100,100
194.194,-0.1,0,3,0,58.4,14,293,-0.97,10,4,5,0,0,1,56.3,2,28.2,97.3,99.8,100,100
