"Molecular.Weight..g.mol..","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","LogS","Ratio.","Name","Ratio..1","Name.1","Ratio..2","Name.2","Ratio..3","Name.3","Ratio..4","Ratio..5","Ratio..6","Ratio..7","Ratio..8"
822.953,4,6,15,5,217,59,1750,-4.3,62.11,3,37.27,0,0,0,0,0,0,12.2,45,51.6,57.9
822.953,4,6,15,5,217,59,1750,-4.3,82.64,3,16.53,0,0,0,0,0,0,22.3,53.8,81.9,97.1
491.069,3.8,1,6,13,64,34,606,-5.1,30,3,10,0,0,1,19,2,40,46.8,76,85.1,89
491.069,3.8,1,6,13,64,34,606,-5.1,30,3,20,0,0,1,19,2,30,22.1,52.9,80.8,95.8
491.069,3.8,1,6,13,64,34,606,-5.1,30,3,40,0,0,1,19,2,10,18.5,45.1,51.3,57.1
491.069,3.8,1,6,13,64,34,606,-5.1,30,6,10,0,0,1,19,2,40,31.9,46.9,61.1,78.6
491.069,3.8,1,6,13,64,34,606,-5.1,30,6,20,0,0,1,19,2,30,14.1,31.7,36.9,40.2
491.069,3.8,1,6,13,64,34,606,-5.1,30,6,35,0,0,1,19,2,15,12.6,21.8,27.1,35.8
491.069,3.8,1,6,13,64,34,606,-5.1,30,6,40,0,0,1,19,2,10,10.7,13.5,16.2,22.5
491.069,3.8,1,6,13,64,34,606,-5.1,33.3,5,33.3,0,0,1,33.3,0,0,8.53,13.1,16.9,23.4
390.864,3.4,2,6,7,90.7,27,368,-3.7,1,5,99,0,0,0,0,0,0,15.1,24.9,32.2,40
390.864,3.4,2,6,7,90.7,27,368,-3.7,5,5,95,0,0,0,0,0,0,39.3,56.3,69.8,79.4
390.864,3.4,2,6,7,90.7,27,368,-3.7,30,4,20,0,0,2,49.25,0,0,25.6,43.2,57,66.7
390.864,3.4,2,6,7,90.7,27,368,-3.7,50,5,50,0,0,0,0,0,0,28.2,41.6,51.8,60.6
