"Ratio..g.ml.","Molecular.Weight..g.mol..","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Name","Ratio..g.ml..1","Name.1","Ratio..g.ml..2","Name.2","Ratio..g.ml..3","Disintegration.time.s."
0.1,421.89,2.8,2,6,7,76.8,29,521,-2.94,3,0.69,1,0.28,1,0.5,1
0.1,421.89,2.8,2,6,7,76.8,29,521,-2.94,3,0.5,1,0.4,1,0.5,2
0.1,421.89,2.8,2,6,7,76.8,29,521,-2.94,3,0.69,1,0.4,1,0.5,3
0.1,421.89,2.8,2,6,7,76.8,29,521,-2.94,3,0.5,1,0.4,1,0.5,5
0.1,421.89,2.8,2,6,7,76.8,29,521,-2.94,3,0.88,1,0.53,1,0.5,7
0.1,421.89,2.8,2,6,7,76.8,29,521,-2.94,3,0.5,1,0.28,1,0.5,5
0.1,421.89,2.8,2,6,7,76.8,29,521,-2.94,3,0.68,1,0.53,1,0.5,6
0.1,421.89,2.8,2,6,7,76.8,29,521,-2.94,3,0.89,1,0.28,1,0.5,11
0.1,421.89,2.8,2,6,7,76.8,29,521,-2.94,3,0.49,1,0.53,1,0.5,3
0.1,421.89,2.8,2,6,7,76.8,29,521,-2.94,3,0.76,1,0.3,1,0.5,2
0.1,421.89,2.8,2,6,7,76.8,29,521,-2.94,3,0.89,2,0.53,1,0.5,10
0.1,421.89,2.8,2,6,7,76.8,29,521,-2.94,3,0.69,2,0.53,1,0.5,6
0.1,421.89,2.8,2,6,7,76.8,29,521,-2.94,3,0.49,2,0.53,1,0.5,5
0.1,421.89,2.8,2,6,7,76.8,29,521,-2.94,3,0.89,2,0.28,1,0.5,11
0.1,421.89,2.8,2,6,7,76.8,29,521,-2.94,3,0.45,2,0.5,1,0.5,6
0.1,421.89,2.8,2,6,7,76.8,29,521,-2.94,3,0.89,2,0.4,1,0.5,9
0.1,421.89,2.8,2,6,7,76.8,29,521,-2.94,3,0.88,2,0.28,1,0.5,10
0.1,421.89,2.8,2,6,7,76.8,29,521,-2.94,3,0.55,2,0.3,1,0.5,9
1.47,194.19,-0.1,0,3,0,58.4,14,293,-0.97,4,4.78,1,0.89,0,0,6.6
2.92,194.19,-0.1,0,3,0,58.4,14,293,-0.97,4,4.78,1,0.88,0,0,16.42
0.11,271.4,3.4,0,2,1,12.5,20,370,-4.5,3,1.43,3,0.4,0,0,59
0.11,271.4,3.4,0,2,1,12.5,20,370,-4.5,3,1.4,3,0.4,0,0,39
0.8,287.36,2.2,2,3,5,57.4,21,375,-3.2,4,6,3,11.4,0,0,36
0.8,287.36,2.2,2,3,5,57.4,21,375,-3.2,4,6,3,11.4,0,0,32
0.8,287.36,2.2,2,3,5,57.4,21,375,-3.2,4,6,3,17.1,0,0,28
0.8,287.36,2.2,2,3,5,57.4,21,375,-3.2,4,6,3,17.1,0,0,43
0.8,287.36,2.2,2,3,5,57.4,21,375,-3.2,4,6,3,22.8,0,0,20
0.8,287.36,2.2,2,3,5,57.4,21,375,-3.2,4,6,3,22.8,0,0,23
2.5,351.4,3,2,7,2,136,23,628,-3.4,5,10,0,0,3,12.5,53.7
2.5,351.4,3,2,7,2,136,23,628,-3.4,5,10,0,0,4,15.2,13.7
16.67,295.4,0.9,2,4,6,73.6,20,405,-3.4,3,2,2,1.35,2,0.5,60
16.67,295.4,0.9,2,4,6,73.6,20,405,-3.4,3,2,2,1.35,2,1,48
16.67,295.4,0.9,2,4,6,73.6,20,405,-3.4,3,2,2,1.35,2,1.5,54
16.67,295.4,0.9,2,4,6,73.6,20,405,-3.4,3,4,2,1.35,2,1,33
16.67,295.4,0.9,2,4,6,73.6,20,405,-3.4,3,4,2,1.35,2,1.5,37
16.67,295.4,0.9,2,4,6,73.6,20,405,-3.4,3,6,2,1.35,2,0.5,52
16.67,295.4,0.9,2,4,6,73.6,20,405,-3.4,3,6,2,1.35,2,1,36
16.67,295.4,0.9,2,4,6,73.6,20,405,-3.4,3,6,2,1.35,2,1.5,40
16.67,295.4,0.9,2,4,6,73.6,20,405,-3.4,6,3,2,1.35,2,0.5,47
16.67,295.4,0.9,2,4,6,73.6,20,405,-3.4,6,3,2,1.35,2,1,44
16.67,295.4,0.9,2,4,6,73.6,20,405,-3.4,6,6,2,1.35,2,0.5,46
16.67,295.4,0.9,2,4,6,73.6,20,405,-3.4,6,6,2,1.35,2,1,40
16.67,295.4,0.9,2,4,6,73.6,20,405,-3.4,6,6,2,1.35,2,1.5,35
16.67,295.4,0.9,2,4,6,73.6,20,405,-3.4,6,9,2,1.35,2,1,39
16.67,295.4,0.9,2,4,6,73.6,20,405,-3.4,6,9,2,1.35,2,1.5,32
2.96,167.21,-0.3,3,3,3,52.5,12,130,-0.88,3,5.56,2,0.61,0,0,5.52
0.03,434.52,4.5,1,7,5,52,30,592,-5.2,1,4,1,7.56,0,0,40.3
0.7,267.36,1.9,2,4,9,50.7,19,215,-2.8,7,0.8,3,0.6,0,0,38.33
1.51,477.05,5,1,3,7,43.8,34,623,-5.7,2,15,1,3.5,0,0,10.9
1.51,477.05,5,1,3,7,43.8,34,623,-5.7,2,17.5,1,3.5,0,0,11.1
1.51,477.05,5,1,3,7,43.8,34,623,-5.7,2,12.5,1,3.5,0,0,10.7
1.51,477.05,5,1,3,7,43.8,34,623,-5.7,2,15,1,3.5,0,0,11.4
1.51,477.05,5,1,3,7,43.8,34,623,-5.7,2,12.5,1,3.5,0,0,8.8
1.51,477.05,5,1,3,7,43.8,34,623,-5.7,2,15,1,3.5,0,0,9.5
1.51,477.05,5,1,3,7,43.8,34,623,-5.7,2,12.5,1,3.5,0,0,10.6
1.51,477.05,5,1,3,7,43.8,34,623,-5.7,2,15,1,3.5,0,0,12.9
1.51,477.05,5,1,3,7,43.8,34,623,-5.7,2,17.5,1,3.5,0,0,14.3
0.91,477.05,5,1,3,7,43.8,34,623,-5.7,8,12,0,0,0,0,34.5
0.91,477.05,5,1,3,7,43.8,34,623,-5.7,8,12,1,0.1,0,0,33.5
0.91,477.05,5,1,3,7,43.8,34,623,-5.7,8,12,1,0.3,0,0,16.2
0.91,477.05,5,1,3,7,43.8,34,623,-5.7,8,14,1,0.3,0,0,23.7
0.91,477.05,5,1,3,7,43.8,34,623,-5.7,8,12,1,0.1,0,0,39
0.91,477.05,5,1,3,7,43.8,34,623,-5.7,8,12,1,0.1,0,0,30.4
0.91,477.05,5,1,3,7,43.8,34,623,-5.7,8,12,1,0.1,0,0,24.5
0.91,477.05,5,1,3,7,43.8,34,623,-5.7,9,12,1,0.3,0,0,24.8
0.91,477.05,5,1,3,7,43.8,34,623,-5.7,9,14,1,0.1,0,0,27
0.47,309.43,3.2,0,3,0,48.6,22,476,-4.6,11,1,1,0.5,0,0,38.8
0.47,309.43,3.2,0,3,0,48.6,22,476,-4.6,11,1,1,0.5,0,0,40.78
0.47,309.43,3.2,0,3,0,48.6,22,476,-4.6,11,1,1,0.5,0,0,48.93
0.47,309.43,3.2,0,3,0,48.6,22,476,-4.6,11,1.5,1,0.5,0,0,42.78
0.47,309.43,3.2,0,3,0,48.6,22,476,-4.6,11,1.5,1,0.5,0,0,53.87
0.47,309.43,3.2,0,3,0,48.6,22,476,-4.6,11,2,1,0.5,0,0,64.07
0.47,309.43,3.2,0,3,0,48.6,22,476,-4.6,11,2,1,0.5,0,0,58.5
0.62,436.95,1.2,2,6,8,95.1,29,654,-5.3,10,3,2,7.5,0,0,45
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,0.5,2,0.05,0,0,15
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,0.5,3,0.05,0,0,9
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,0.5,2,0.1,0,0,11
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,0.5,3,0.1,0,0,4
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,0.5,1,0.1,0,0,17
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,2,0.1,0,0,21
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,1,0.1,0,0,27
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,3,0.2,0,0,10
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,1,0.2,0,0,22
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,12,0.5,2,0.05,0,0,34
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,12,0.5,3,0.05,0,0,28
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,12,0.5,1,0.05,0,0,39
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,12,1,2,0.1,0,0,51
1,312.44,2.8,1,5,1,56.2,22,543,-3.5,12,1,1,0.1,0,0,49
