"Molecular..Weight","XLogP3","Hydrogen.Bond..Donor.Count","Hydrogen.Bond..Acceptor.Count","Rotatable.Bond..Count","Topological.Polar..Surface.Area","Heavy.Atom.Count","Complexity","pKa","logS","Amount.mg.","Type","Amount.mg..1","Type.1","Amount.mg..2","Binder","Amount.mg..3","Disintegrant","Amount.mg..4","Disintegrant.1","Amount.mg..5","Lubricant","Amount.mg..6","Lubricant.1","Amount.mg..7","Solubilzer","Amount.mg..8","Disintegration.time.s."
312.43,2.8,1,5,1,56.2,22,543,4.01,-3.5,11.8,1,41,2,61.45,0,0,1,14,0,0,2,0.875,1,0.875,1,43,27
293.36,2.3,0,2,2,39.8,22,440,7.34,-3.1,8,1,22.5,2,15.12,0,0,2,7.5,0,0,1,0.75,0,0,0,0,16
312.43,2.8,1,5,1,56.2,22,543,4.01,-3.5,11.8,1,41,2,66.7,0,0,1,8.75,0,0,2,0.875,1,0.875,1,43,22
256.09,1.4,2,5,1,90.7,16,242,5.7,-2.7,25,1,46.5,0,0,0,0,2,2.5,0,0,2,1,0,0,0,0,8
293.36,2.3,0,2,2,39.8,22,440,7.34,-3.1,8,1,22.5,2,18.87,0,0,2,3.75,0,0,1,0.75,0,0,0,0,9
558.64,5,4,6,12,112,41,882,4.33,-6.1,10,1,182.6,0,0,2,15,1,15,0,0,2,1.2,0,0,0,0,30
151.16,0.5,2,2,1,49.3,11,139,9.38,-1.03,325,2,133,0,0,0,0,1,20,3,20,2,2,0,0,0,0,51
151.16,0.5,2,2,1,49.3,11,139,9.38,-1.03,325,1,30,2,15,2,15,2,15,0,0,2,5,1,5,0,0,7
297.74,-0.1,3,7,1,135,17,494,7.9,-2.62,50,3,133.6,0,0,0,0,1,8,2,8,1,15,2,4,0,0,10
337.45,-0.6,4,8,7,238,20,469,8.38,-3.1,20,4,66.3,0,0,2,11.7,0,0,0,0,2,0.5,0,0,0,0,47
296.32,2,1,3,2,72.6,22,440,15.96,-3.4,102,1,150,2,50.08,0,0,2,60,0,0,2,4,0,0,2,109.92,25
265.35,3.3,0,3,0,19.4,20,345,6.67,-2.4,45,1,264,0,0,1,195,1,25,0,0,2,10,0,0,0,0,24
408.88,3,2,7,10,99.9,28,647,8.79,-4.7,5,1,25,2,40,0,0,2,40,0,0,2,2,0,0,5,1,20
241.29,5.1,2,3,3,49.3,18,292,4.2,-3.78,100,2,81.75,0,0,0,0,2,32.5,0,0,1,32.5,2,3.25,0,0,25
410.48,2.7,0,6,4,61.9,30,731,8.76,-3.4,0.5,1,1.45,2,1.45,1,0.5,0,0,0,0,1,50,0,0,0,0,2
416.13,5.3,0,2,6,27,25,417,6.77,-5.7,56.5,1,58,2,58,3,4.7,1,4.8,0,0,3,18,0,0,0,0,40
151.16,0.5,2,2,1,49.3,11,139,9.38,-1.03,224.4,1,303.6,0,0,0,0,1,44.4,0,0,2,3,0,0,0,0,37
608.17,7.9,1,5,12,98.6,42,898,3.12,-7.8,5.2,2,92.41,0,0,0,0,2,4.8,0,0,2,1.596,0,0,4,12.804,8
348.87,2.6,2,3,2,50.2,24,442,9,-2.9,50,1,20,2,55,0,0,0,0,3,5,1,2,2,1.5,0,0,35
474.58,1.5,1,7,7,118,33,838,5.99,-3,29.8,1,203.45,0,0,0,0,2,13,0,0,2,3,1,2.25,0,0,27
