MW(g/mol),melting point( __,XLogP3,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Topological Polar Surface Area(A^2),Heavy Atom Count,Complexity,logS,Polymers,Drug loading ratio,Preparation method(hot melt extrution-1=1_solvent evaporation=2=2_,temperature___,Relative Humidity_%_,3month_stabable=1_not stable=0_,6month_stabable=1_not stable=0_
705.641,166.2,5.7,0,9,11,101,49,1120,-4.9,6,0.5,1,40,75,1,0
351.395,254,3,2,7,2,136,23,628,-3.4,6,0.25,1,40,75,0,0
351.395,254,3,2,7,2,136,23,628,-3.4,11,0.25,1,40,50,0,0
381.373,158,3.4,1,7,3,86.4,26,577,-4.9,7,0.8,1,40,75,1,0
381.373,158,3.4,1,7,3,86.4,26,577,-4.9,10,0.8,1,40,75,0,0
381.373,158,3.4,1,7,3,86.4,26,577,-4.9,6,0.8,1,40,75,0,0
330.739,206,2,3,7,5,131,21,481,-3.5,9,0.2,2,40,75,0,0
176.124,191,-1.6,4,6,2,107.22,12,232,0.14,8,0.5,2,25,0,0,0
176.124,191,-1.6,4,6,2,107.22,12,232,0.14,8,0.5,2,25,23,0,0
176.124,191,-1.6,4,6,2,107.22,12,232,0.14,8,0.5,2,25,54,0,0
176.124,191,-1.6,4,6,2,107.22,12,232,0.14,8,0.5,2,25,75,0,0
176.124,191,-1.6,4,6,2,107.22,12,232,0.14,8,0.5,2,40,0,0,0
176.124,191,-1.6,4,6,2,107.22,12,232,0.14,8,0.5,2,40,23,0,0
176.124,191,-1.6,4,6,2,107.22,12,232,0.14,8,0.5,2,40,54,0,0
176.124,191,-1.6,4,6,2,107.22,12,232,0.14,8,0.5,2,40,75,0,0
