MW(g/mol),melting point( ??,XLogP3,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Topological Polar Surface Area(A^2),Heavy Atom Count,Complexity,logS,Polymer code,Drug loading ratio,Preparation method(hot melt extrution-1=1?solvent evaporation=2=2?,temperature???,Relative Humidity?%?,3month?stabable=1?not stable=0?
705.63342,166.2,5.7,0,9,11,1.1,49,1120,-4.9,1,0.4,2,40,75,1
705.63342,166.2,5.7,0,9,11,1.1,49,1120,-4.9,2,0.2,2,25,60,1
581.057543,240,5.1,2,9,11,115,40,898,-4.4,1,0.4,2,40,75,0
581.057543,240,5.1,2,9,11,115,40,898,-4.4,3,0.4,2,40,75,1
581.057543,240,5.1,2,9,11,115,40,898,-4.4,4,0.4,2,40,75,1
384.25376,145,3.9,1,5,6,64.6,25,614,-4.7,5,0.1,1,25,75,1
384.25376,145,3.9,1,5,6,64.6,25,614,-4.7,5,0.1,1,40,75,1
384.25376,145,3.9,1,5,6,64.6,25,614,-4.7,5,0.1,1,40,0,1
384.25376,145,3.9,1,5,6,64.6,25,614,-4.7,5,0.7,1,25,0,0
384.25376,145,3.9,1,5,6,64.6,25,614,-4.7,5,0.7,1,25,75,0
384.25376,145,3.9,1,5,6,64.6,25,614,-4.7,5,0.7,1,40,0,0
360.83134,80.5,5.2,0,4,7,52.6,25,458,-5.7,5,0.1,1,40,75,0
360.83134,80.5,5.2,0,4,7,52.6,25,458,-5.7,5,0.1,1,25,75,0
360.83134,80.5,5.2,0,4,7,52.6,25,458,-5.7,5,0.1,1,40,0,0
360.83134,80.5,5.2,0,4,7,52.6,25,458,-5.7,5,0.1,1,25,0,0
360.83134,80.5,5.2,0,4,7,52.6,25,458,-5.7,5,0.7,1,40,75,0
360.83134,80.5,5.2,0,4,7,52.6,25,458,-5.7,5,0.7,1,25,75,0
360.83134,80.5,5.2,0,4,7,52.6,25,458,-5.7,5,0.7,1,25,0,0
381.37217,158,3.4,1,7,3,86.4,26,577,-4.9,5,0.1,1,40,75,1
381.37217,158,3.4,1,7,3,86.4,26,577,-4.9,5,0.1,1,25,75,1
381.37217,158,3.4,1,7,3,86.4,26,577,-4.9,5,0.1,1,40,0,1
381.37217,158,3.4,1,7,3,86.4,26,577,-4.9,5,0.1,1,25,0,1
381.37217,158,3.4,1,7,3,86.4,26,577,-4.9,5,0.7,1,40,75,1
381.37217,158,3.4,1,7,3,86.4,26,577,-4.9,5,0.7,1,25,75,1
381.37217,158,3.4,1,7,3,86.4,26,577,-4.9,5,0.7,1,40,0,1
381.37217,158,3.4,1,7,3,86.4,26,577,-4.9,5,0.7,1,25,0,1
236.2686,205,2.5,1,1,0,46.3,18,326,-3.2,5,0.1,1,40,75,0
236.2686,205,2.5,1,1,0,46.3,18,326,-3.2,5,0.1,1,25,75,0
236.2686,205,2.5,1,1,0,46.3,18,326,-3.2,5,0.1,1,40,0,0
