"MW.g.mol.","melting.point..__","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Polymers","Drug.loading.ratio","Preparation.method.hot.melt.extrution.1.1_solvent.evaporation.2.2_","temperature___","Relative.Humidity_._","X3month_stabable.1_not.stable.0_","X6month_stabable.1_not.stable.0_"
384.25,145,3.9,1,5,6,64.6,25,614,-4.7,11,0.1,1,25,75,1,1
384.25,145,3.9,1,5,6,64.6,25,614,-4.7,11,0.1,1,40,0,1,1
384.25,145,3.9,1,5,6,64.6,25,614,-4.7,11,0.1,1,25,0,1,1
384.25,145,3.9,1,5,6,64.6,25,614,-4.7,11,0.7,1,40,75,0,0
384.25,145,3.9,1,5,6,64.6,25,614,-4.7,11,0.7,1,25,75,0,0
384.25,145,3.9,1,5,6,64.6,25,614,-4.7,11,0.7,1,40,0,0,0
384.25,145,3.9,1,5,6,64.6,25,614,-4.7,11,0.7,1,25,0,0,0
360.83,80.5,5.2,0,4,7,52.6,25,458,-5.7,11,0.1,1,40,75,0,0
360.83,80.5,5.2,0,4,7,52.6,25,458,-5.7,11,0.1,1,25,0,0,0
360.83,80.5,5.2,0,4,7,52.6,25,458,-5.7,11,0.7,1,40,75,0,0
360.83,80.5,5.2,0,4,7,52.6,25,458,-5.7,11,0.7,1,25,75,0,0
360.83,80.5,5.2,0,4,7,52.6,25,458,-5.7,11,0.7,1,25,0,0,0
381.37,158,3.4,1,7,3,86.4,26,577,-4.9,11,0.1,1,25,75,1,1
381.37,158,3.4,1,7,3,86.4,26,577,-4.9,11,0.1,1,40,0,1,1
381.37,158,3.4,1,7,3,86.4,26,577,-4.9,11,0.1,1,25,0,1,1
381.37,158,3.4,1,7,3,86.4,26,577,-4.9,11,0.7,1,40,75,1,1
381.37,158,3.4,1,7,3,86.4,26,577,-4.9,11,0.7,1,25,75,1,1
381.37,158,3.4,1,7,3,86.4,26,577,-4.9,11,0.7,1,40,0,1,1
236.27,205,2.5,1,1,0,46.3,18,326,-3.2,11,0.1,1,25,75,0,0
236.27,205,2.5,1,1,0,46.3,18,326,-3.2,11,0.1,1,40,0,0,0
236.27,205,2.5,1,1,0,46.3,18,326,-3.2,11,0.7,1,40,75,0,0
236.27,205,2.5,1,1,0,46.3,18,326,-3.2,11,0.7,1,25,75,0,0
236.27,205,2.5,1,1,0,46.3,18,326,-3.2,11,0.7,1,40,0,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,1,0.05,1,40,5,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,1,0.05,1,40,11,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,1,0.05,1,40,33,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,1,0.05,1,40,77,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,1,0.05,1,40,100,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,1,0.1,1,40,5,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,1,0.1,1,40,11,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,1,0.1,1,40,33,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,1,0.1,1,40,100,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,3,0.05,1,40,100,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,3,0.1,1,40,5,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,3,0.1,1,40,11,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,3,0.1,1,40,33,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,3,0.1,1,40,100,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,4,0.05,1,40,100,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,4,0.1,1,40,5,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,4,0.1,1,40,11,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,4,0.1,1,40,77,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,4,0.1,1,40,100,0,0
357.79,151,4.3,1,4,4,68.5,25,506,-5.2,11,0.3,1,50,96,1,0
357.79,151,4.3,1,4,4,68.5,25,506,-5.2,7,0.3,1,50,96,1,0
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,8,0.15,2,50,0,1,1
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,8,0.15,2,90,0,1,1
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,8,0.15,2,120,0,0,0
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,8,0.15,2,25,84,0,0
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,10,0.3,2,25,0,1,0
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,10,0.3,2,50,0,1,0
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,10,0.3,2,90,0,0,0
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,10,0.3,2,120,0,0,0
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,10,0.3,2,25,84,0,0
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,9,0.4,2,25,0,1,1
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,9,0.4,2,50,0,0,0
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,9,0.4,2,120,0,0,0
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,9,0.4,2,25,84,0,0
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,6,0.4,2,25,0,1,1
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,6,0.4,2,50,0,1,1
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,6,0.4,2,120,0,1,1
