"MW.g.mol.","melting.point......","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Polymers","Drug.loading.ratio","Preparation.method.hot.melt.extrution.1.1..solvent.evaporation.2.2..","temperature......","Relative.Humidity.....","X6month..stabable.1..not.stable.0.."
230.26,153,3.3,1,3,3,46.5,17,277,-4.16,13,0.5,2,25,75,0
335.85,157,4.9,1,3,5,66.5,22,412,-4.4,12,0.1,2,6,0,1
346.33,173,2.7,1,7,5,110,25,608,-4.3,9,0.1,1,40,77,0
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,2,0.4,2,50,0,0
357.79,151,4.3,1,4,4,68.5,25,506,-5.2,13,0.3,1,40,75,0
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,11,0.15,2,25,0,1
381.37,158,3.4,1,7,3,86.4,26,577,-4.9,5,0.7,1,25,75,1
360.83,80.5,5.2,0,4,7,52.6,25,458,-5.7,5,0.1,1,25,75,0
384.25,145,3.9,1,5,6,64.6,25,614,-4.7,3,0.35,2,80,0,1
346.33,173,2.7,1,7,5,110,25,608,-4.3,13,0.95,2,25,0,1
384.25,145,3.9,1,5,6,64.6,25,614,-4.7,13,0.5,2,25,33,1
236.27,205,2.5,1,1,0,46.3,18,326,-3.2,5,0.7,1,25,75,0
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,12,0.4,2,90,0,1
232.24,174,1.5,2,3,2,75.3,17,339,-2.9,13,0.95,2,60,0,0
487.4,97,5.3,1,4,6,82.5,32,791,-8.1,12,0.2,2,25,60,0
